Duration: 1.33s
         7365546 function calls (7364887 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _regex_core.py:73(RegexFlag)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       13    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        4    0.000    0.000    0.000    0.000 locale.py:667(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 {method 'match' of '_regex.Pattern' objects}
        1    0.000    0.000    0.000    0.000 pretoken.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3522(_compile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1069(parse_flag_set)
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2166(_flatten_branches)
       16    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       32    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 __init__.py:546(Formatter)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2909(_compile)
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2146(_compile)
       51    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4264(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 regex.py:377(escape)
       10    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        3    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        2    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        5    0.000    0.000    0.000    0.000 _regex_core.py:376(_flatten_code)
       34    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       27    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
        2    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        2    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
       27    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2880(optimise)
        1    0.000    0.000    0.001    0.001 bpe_builder.py:17(BytePairEncodingBuilder)
        1    0.000    0.000    0.000    0.000 pretoken.py:10(TokenCollection)
       39    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        4    0.000    0.000    0.000    0.000 _regex_core.py:2546(_compile)
       31    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
    26/16    0.000    0.000    0.000    0.000 _regex_core.py:1934(__hash__)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 regex.py:349(compile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1536(parse_set_member)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4365(_get_required_string)
       20    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2122(pack_characters)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       32    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       16    0.000    0.000    0.000    0.000 _regex_core.py:2871(__init__)
       12    0.000    0.000    0.000    0.000 locale.py:600(setlocale)
       10    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 _regex_core.py:3943(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1121(parse_flags_subpattern)
     12/7    0.000    0.000    0.000    0.000 _regex_core.py:2453(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       20    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       14    0.000    0.000    0.000    0.000 _regex_core.py:3271(_compile)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
